area,item,total,exports,imports,prod_output,prod_input,demand,food_demand,start_stock,other_demand,prod_demand,non_prod_demand,additional_demand,additional_pos_demand,additional_neg_demand,export_frac,prod_frac,food_frac,other_frac
Afghanistan,"Camelids, other",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Camels,20444.0,0.0,0.0,20444.0,20444.0,0,0,0.0,0,20444.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Cassava and products,2998.0,0.0,2998.0,0.0,0.0,2998,2998,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Cattle,655619.0,0.0,0.0,655619.0,655619.0,0,0,0.0,0,655619.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,"Cereals, Other",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Citrus, Other",57140.0,142.0,52687.0,4000.0,0.0,56998,55999,453.0,999,0.0,4453,-453.0,0.0,453.0,0.0024851242562128105,0.0,0.9800315015750788,0.017483374168708436
Afghanistan,Cloves,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Cocoa Beans and products,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Coconut Oil,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Coconuts - Incl Copra,2000.9999999999995,0.0,2000.9999999999995,0.0,2000.9999999999995,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Coffee and products,1901.0,1901.0,0.0,0.0,0.0,0,0,1901.0,0,0.0,1901,-1901.0,0.0,1901.0,1.0,0.0,0.0,0.0
Afghanistan,Copra Cake,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Cotton lint,28804.0,28804.0,0.0,24440.0,0.0,0,0,4364.0,0,0.0,28804,-4364.0,0.0,4364.0,1.0,0.0,0.0,0.0
Afghanistan,Cottonseed,48000.0,0.0,0.0,48000.0,48000.0,0,0,0.0,0,48000.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Cottonseed Cake,21025.0,0.0,331.01574391172,20693.0,21025.0,0,0,0.9842560882752878,0,20693.984256088275,0,-0.9842560882752878,0.0,0.9842560882752878,0.0,1.0,0.0,0.0
Afghanistan,Cottonseed Oil,19000.0,0.0,10925.0,8000.0,0.0,19000,4000,75.0,15000,0.0,8075,-75.0,0.0,75.0,0.0,0.0,0.21052631578947367,0.7894736842105263
Afghanistan,Dates,1001.0,0.0,1001.0,0.0,0.0,1001,0,0.0,1001,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0
Afghanistan,Eggs,45274.46808510638,0.0,25274.468085106382,20000.0,1000.0000000000001,42998,42998,0.0,0,425.53191489361706,18298,1276.468085106383,1276.468085106383,-0.0,0.0,0.022087504112035344,0.9497185018092955,0.028193994078669092
Afghanistan,"Fats, Animals, Raw",11000.0,0.0,0.0,11000.0,0.0,10000,10000,0.0,0,0.0,10000,1000.0,1000.0,-0.0,0.0,0.0,0.9090909090909091,0.09090909090909091
Afghanistan,"Fish, Seafood",14198.0,0.0,3691.0,10100.0,0.0,14198,14190,407.0,8,0.0,10507,-407.0,0.0,407.0,0.0,0.0,0.9994365403577968,0.0005634596422031273
Afghanistan,Fodder crops,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Fruits, Other",416139.0,64675.54837290148,12139.0,404000.0,0.0,319989,308992,0.0,10997,712.5483729014811,371813,31474.45162709852,31474.45162709852,-0.0,0.15541813762445117,0.0,0.7425211287574585,0.10206073361809033
Afghanistan,Goats,3608368.0,0.0,0.0,3608368.0,3608368.0,0,0,0.0,0,3608368.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Grapefruit and products,1000.0,0.0,1000.0,0.0,0.0,1000,1000,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Grapes and products (excl wine),993593.0,219262.90471816773,593.0,993000.0,0.0,667996,657998,0.0,9998,14716.904718167727,871949,106334.09528183227,106334.09528183227,-0.0,0.2206767808530935,0.0,0.6622409779456981,0.11708224120120841
Afghanistan,Grazing,38066589.0,0.0,0.0,38066589.0,38066589.0,0,0,0.0,0,38066589.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Groundnut Cake,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Groundnut Oil,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Groundnuts,14998.0,0.0,14998.0,0.0,0.0,14998,14998,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,"Hard Fibres, Other",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Hides and skins,43557.0,215.0,13.0,43542.0,0.0,43342,0,2.0,43342,0.0,43544,-2.0,0.0,2.0,0.004936060793902243,0.0,0.0,0.9950639392060977
Afghanistan,Honey,2000.0,0.0,0.0,2000.0,0.0,2000,2000,0.0,0,0.0,2000,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Hops,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Horses,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Jute,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Jute-Like Fibres,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Lemons, Limes and products",1997.0,0.0,1997.0,0.0,0.0,1997,1997,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Maize Germ Oil,1999.0,0.0,1999.0,0.0,0.0,1999,1999,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Maize and products,343580.50424929184,0.0,71580.50424929181,272000.0,196000.00000000006,115989,103994,0.0,11995,151025.49575070824,89383,31591.504249291756,31591.504249291756,-0.0,0.0,0.5704631012992176,0.30267724365566745,0.12685965504511487
Afghanistan,"Meat, Other",12000.0,0.0,0.0,12000.0,0.0,12000,12000,0.0,0,0.0,12000,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Milk - Excluding Butter,2153464.0464252555,0.0,16464.04642525534,2137000.0,9001.999999999989,2077993,1348995,0.0,728998,8930.95357474465,2061600,66469.04642525535,66469.04642525535,-0.0,0.0,0.004180241604192689,0.6264302402630442,0.36938951813276316
Afghanistan,Millet and products,5996.0,0.0,3996.0,2000.0,0.0,5996,5000,0.0,996,0.0,2000,0.0,0.0,-0.0,0.0,0.0,0.8338892595063375,0.16611074049366245
Afghanistan,Mules,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Mutton & Goat Meat,157000.0,0.0,0.0,157000.0,0.0,157000,157000,0.0,0,0.0,157000,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Nuts and products,76146.0,12508.0,15146.0,61000.0,0.0,59994,59994,997.0,0,0.0,57356,3644.0,3644.0,-0.0,0.16426338875318466,0.0,0.7878811756362777,0.04785543561053765
Afghanistan,Oats,2000.9999999999998,0.0,2000.9999999999998,0.0,2000.9999999999998,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,"Offals, Edible",56275.0,0.0,3275.0,53000.0,0.0,52995,51996,0.0,999,0.0,49720,3280.0,3280.0,-0.0,0.0,0.0,0.923962683251888,0.07603731674811195
Afghanistan,"Oil, palm fruit",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Oilcrops Oil, Other",19995.0,0.0,3949.0,16000.0,0.0,19995,0,46.0,19995,0.0,16046,-46.0,0.0,46.0,0.0,0.0,0.0,1.0
Afghanistan,"Oilcrops, Other",57268.93482511224,3276.934825112273,18353.11312954092,34000.0,47997.99999999997,5994,0,4915.8216955713215,5994,34438.82169557132,4477,-4915.8216955713215,0.0,4915.8216955713215,0.057220111306755916,0.8381158152596371,0.0,0.10466407343360698
Afghanistan,"Oilseed Cakes, Other",29140.0,0.0,18.000617728817055,29121.0,29140.0,0,0,0.9993822711840039,0,29121.999382271184,0,-0.9993822711840039,0.0,0.9993822711840039,0.0,1.0,0.0,0.0
Afghanistan,Olive Oil,1000.0,0.0,0.0,1000.0,0.0,1000,1000,0.0,0,0.0,1000,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Olives (including preserved),9000.0,0.0,0.0,9000.0,6000.0,3000,3000,0.0,0,6000.0,3000,0.0,0.0,-0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
Afghanistan,Onions,346053.0,71498.9728362882,20053.0,326000.0,0.0,237999,237999,0.0,0,1.97283628820667,289443,36555.02716371179,36555.02716371179,-0.0,0.20661278138403136,0.0,0.6877530320500039,0.10563418656596471
Afghanistan,"Oranges, Mandarines",144040.0,16.0,141040.0,3000.0,0.0,143999,143999,0.0,0,0.0,2975,25.0,25.0,-0.0,0.00011108025548458761,0.0,0.9997153568453208,0.00017356289919466815
Afghanistan,Palm Oil,158998.0,0.0,158998.0,0.0,0.0,158998,158998,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Palm kernels,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Palmkernel Cake,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Palmkernel Oil,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Peas,31000.99999999999,0.0,31000.99999999999,0.0,31000.99999999999,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Pepper,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Pigmeat,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Pigs,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Pimento,2997.0,0.0,2997.0,0.0,0.0,2997,2997,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Pineapples and products,999.0,0.0,999.0,0.0,0.0,999,999,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Plantains,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Potatoes and products,938082.3695639286,13251.320793591647,83082.36956392857,855000.0,49000.00000000001,840000,840000,0.0,0,46102.95122966308,773066,35831.04877033692,35831.04877033692,-0.0,0.014125967210908759,0.052234219072657614,0.8954437555312733,0.038196058185160336
Afghanistan,Poultry Birds,34691999.99999999,0.0,31340999.999999996,3351000.0,34691999.99999999,0,0,0.0,0,3351000.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Poultry Meat,65969.0,0.0,36000.0,28000.0,0.0,65969,65969,3933.0,0,0.0,29969,-1969.0,0.0,1969.0,0.0,0.0,1.0,0.0
Afghanistan,"Pulses, Other and products",83898.32805695596,3842.031157289017,39898.32805695596,44000.0,6998.000000000001,72001,71004,0.0,997,4642.703100333065,38300,1057.2968996669351,1057.2968996669351,-0.0,0.045793894184408324,0.08341048221186574,0.8463100713019883,0.024485552301737632
Afghanistan,Rabbits and hares,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Rape and Mustard Cake,1618.9999999999995,0.0,1618.9999999999995,0.0,1618.9999999999995,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Rape and Mustard Oil,2002.0,0.0,2002.0,0.0,0.0,2002,2002,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Rape and Mustardseed,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Rice and products,852709.3133640554,0.0,412709.3133640553,440000.0,14999.999999999998,821995,738998,0.0,82997,7603.686635944699,416682,15714.3133640553,15714.3133640553,-0.0,0.0,0.01759098882223174,0.866647037176774,0.11576197400099415
Afghanistan,Ricebran Oil,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Rodents, other",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Roots, Other",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Rubber,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Rye and products,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Seed cotton,74062.0,0.0,0.0,74062.0,74062.0,0,0,0.0,0,74062.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Sesame seed,42000.0,0.0,0.0,42000.0,14000.0,25000,12000,0.0,13000,14000.0,25000,3000.0,3000.0,-0.0,0.0,0.3333333333333333,0.2857142857142857,0.38095238095238093
Afghanistan,Sesameseed Cake,3382.0,0.0,0.0,3382.0,3381.0,0,0,0.0,0,3381.0,0,1.0,1.0,-0.0,0.0,0.9997043169722057,0.0,0.00029568302779420464
Afghanistan,Sesameseed Oil,2000.0,0.0,0.0,2000.0,0.0,2000,1000,0.0,1000,0.0,2000,0.0,0.0,-0.0,0.0,0.0,0.5,0.5
Afghanistan,Sheep,6920888.875182567,1507.8751825668958,0.0,6920888.0,6919381.0,0,0,0.8751825671643019,0,6920888.875182567,0,-0.8751825671643019,0.0,0.8751825671643019,0.00021787305211241662,0.9997821269478876,0.0,0.0
Afghanistan,Silk,557.0,7.0,7.0,549.0,0.0,550,0,1.0,550,0.0,550,-1.0,0.0,1.0,0.012567324955116697,0.0,0.0,0.9874326750448833
Afghanistan,Sisal,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Soft-Fibres, Other",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Sorghum and products,1000.0,0.0,1000.0,0.0,1000.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Soyabean Cake,26379.00000000001,0.0,26379.00000000001,0.0,26379.00000000001,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Soyabean Oil,5998.0,0.0,5998.0,0.0,0.0,5998,5998,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Soyabeans,10999.999999999998,0.0,10999.999999999998,0.0,10999.999999999998,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,"Spices, Other",19977.0,10963.0,1977.0,18000.0,0.0,7998,7998,0.0,0,0.0,16984,1016.0,1016.0,-0.0,0.5487810982630025,0.0,0.40036041447664816,0.0508584872603494
Afghanistan,Sugar (Raw Equivalent),808989.0,0.0,807989.0,1000.0,0.0,808989,593000,0.0,215989,0.0,1000,0.0,0.0,-0.0,0.0,0.0,0.7330136750932337,0.2669863249067663
Afghanistan,Sugar beet,5000.0,0.0,0.0,5000.0,5000.0,0,0,0.0,0,5000.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Afghanistan,Sugar cane,40000.0,0.0,0.0,40000.0,38001.0,0,0,0.0,0,38001.0,0,1999.0,1999.0,-0.0,0.0,0.950025,0.0,0.049975
Afghanistan,Sugar non-centrifugal,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Sunflower seed,7386.0,0.0,6966.9745896160475,387.0,7000.0,386,0,32.02541038395219,386,397.0254103839522,22,-32.02541038395219,0.0,32.02541038395219,0.0,0.9477389656106147,0.0,0.05226103438938532
Afghanistan,Sunflowerseed Cake,5119.999999999999,0.0,63.66945956881137,5053.0,5119.999999999999,0,0,3.3305404311877282,0,5056.330540431188,0,-3.3305404311877282,0.0,3.3305404311877282,0.0,1.0,0.0,0.0
Afghanistan,Sunflowerseed Oil,100993.0,0.0,97957.0,3000.0,0.0,100993,46998,36.0,53995,0.0,3036,-36.0,0.0,36.0,0.0,0.0,0.4653589852762073,0.5346410147237928
Afghanistan,Sweet potatoes,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,"Sweeteners, Other",20339.170966044563,6.170966044561478,19952.0,342.0,0.0,20333,19997,45.170966044561474,336,0.17096604456147746,387,-45.170966044561474,0.0,45.170966044561474,0.0003034030273339882,0.0,0.9831767496022427,0.01651984737042324
Afghanistan,Tea (including mate),14997.0,0.0,14997.0,0.0,0.0,14997,14997,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,Tobacco,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Tomatoes and products,16999.0,0.0,16999.0,0.0,0.0,16999,16999,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Afghanistan,"Vegetables, Other",3337922.0,44336.83232377094,57922.0,3280000.0,0.0,2919993,2901997,0.0,17996,80.83232377094039,2906327,373592.1676762291,373592.1676762291,-0.0,0.013282764643323284,0.0,0.8694022808202229,0.11731495453645382
Afghanistan,Wheat and products,7656939.7812263435,0.0,2471939.7812263435,5185000.0,392999.9999999997,6754990,6257996,0.0,496994,257091.21877365612,4418959,508949.7812263439,508949.7812263439,-0.0,0.0,0.051325988087770544,0.8172972726445699,0.13137673926765955
Afghanistan,Wine,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Afghanistan,Wool (Clean Eq.),13712.0,48.0,164.0,13548.0,0.0,13647,0,0.0,13647,0.0,13531,17.0,17.0,-0.0,0.003500583430571762,0.0,0.0,0.9964994165694282
Afghanistan,Yams,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Abaca,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,"Alcohol, Non-Food",998.0,0.0,998.0,0.0,0.0,998,0,0.0,998,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0
Albania,Apples and products,108900.0,4131.247216846015,6900.0,102000.0,0.0,94999,94999,0.0,0,1368.2472168460156,90862,9769.752783153985,9769.752783153985,-0.0,0.03793615442466497,0.0,0.8723507805325987,0.08971306504273638
Albania,Asses,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Bananas,27052.0,0.0,27052.000000000004,0.0,3054.0,23998,23998,52.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.11289368623391986,0.8871063137660802,0.0
Albania,Barley and products,23539.041666666664,0.0,10539.041666666664,13000.0,20026.999999999996,2971,999,0.0,1972,10847.958333333334,1611,541.0416666666661,541.0416666666661,-0.0,0.0,0.8507992926644917,0.04244013049242659,0.10676057684308168
Albania,Beans,24436.0,0.0,1436.0,23000.0,3999.9999999999995,13996,13996,0.0,0,3679.9999999999995,12880,6440.0,6440.0,-0.0,0.0,0.16369291209690617,0.5727614994270748,0.263545588476019
Albania,Beer,84993.0,0.0,28454.0,56000.0,0.0,84993,83999,539.0,994,0.0,56539,-539.0,0.0,539.0,0.0,0.0,0.9883049192286424,0.011695080771357641
Albania,"Beverages, Alcoholic",3996.0,0.0,996.0,3000.0,0.0,3996,3996,0.0,0,0.0,3000,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Albania,"Beverages, Fermented",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Bovine Meat,33995.0,0.0,995.0,33000.0,0.0,33995,33995,0.0,0,0.0,33000,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Albania,Buffaloes,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,"Butter, Ghee",4000.0000000000005,0.0,0.0,4000.0000000000005,0.0,4000,4000,0.0,0,0.0,4000,4.547473508864641e-13,4.547473508864641e-13,-0.0,0.0,0.0,0.9999999999999999,1.13686837721616e-16
Albania,"Camelids, other",0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Camels,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Cassava and products,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Cattle,283437.0,0.0,8734.780487292557,274691.0,283437.0,0,0,11.219512707437389,0,274702.21951270744,0,-11.219512707437389,0.0,11.219512707437389,0.0,1.0,0.0,0.0
Albania,"Cereals, Other",995.0,0.0,995.0,0.0,0.0,995,995,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Albania,"Citrus, Other",16.0,0.0,0.0,16.0,0.0,16,0,0.0,16,0.0,16,0.0,0.0,-0.0,0.0,0.0,0.0,1.0
Albania,Cloves,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Cocoa Beans and products,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Coconut Oil,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Coconuts - Incl Copra,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Albania,Coffee and products,7997.0,0.0,7997.0,0.0,0.0,7997,7997,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0
Albania,Copra Cake,18.0,0.0,18.0,0.0,18.0,0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Albania,Cotton lint,249.0,0.0,3.0,246.0,0.0,249,0,0.0,249,0.0,246,0.0,0.0,-0.0,0.0,0.0,0.0,1.0
Albania,Cottonseed,1000.0,0.0,0.0,1000.0,1000.0,0,0,0.0,0,1000.0,0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0
Albania,Cottonseed Cake,27.0,0.0,0.0,27.0,26.0,0,0,0.0,0,26.0,0,1.0,1.0,-0.0,0.0,0.9629629629629629,0.0,0.037037037037037035
Albania,Cottonseed Oil,72.0,0.0,0.0,72.0,0.0,72,0,0.0,72,0.0,72,0.0,0.0,-0.0,0.0,0.0,0.0,1.0
